"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 04, 2019","2,663.19","2,684.43","2,686.33","2,639.36","-","-0.42%"
"Mar 01, 2019","2,674.31","2,670.29","2,678.40","2,658.86","-","0.67%"
"Feb 28, 2019","2,656.46","2,659.96","2,665.21","2,654.70","-","-0.28%"
"Feb 27, 2019","2,663.96","2,657.97","2,666.77","2,647.59","-","0.01%"
"Feb 26, 2019","2,663.74","2,662.77","2,672.24","2,659.16","-","-0.08%"
"Feb 25, 2019","2,665.78","2,674.08","2,682.29","2,664.85","-","0.13%"
"Feb 22, 2019","2,662.40","2,651.30","2,663.42","2,649.64","-","0.67%"
"Feb 21, 2019","2,644.60","2,649.93","2,650.77","2,635.16","-","-0.37%"
"Feb 20, 2019","2,654.39","2,649.58","2,658.83","2,644.85","-","0.17%"
"Feb 19, 2019","2,649.94","2,640.05","2,657.01","2,638.95","-","0.15%"
"Feb 15, 2019","2,646.06","2,629.77","2,646.09","2,629.77","-","1.08%"
"Feb 14, 2019","2,617.77","2,616.01","2,628.91","2,604.68","-","-0.26%"
"Feb 13, 2019","2,624.51","2,622.69","2,632.22","2,620.30","-","0.29%"
"Feb 12, 2019","2,616.96","2,595.46","2,620.05","2,595.46","-","1.30%"
"Feb 11, 2019","2,583.36","2,587.20","2,591.03","2,577.98","-","0.08%"
"Feb 08, 2019","2,581.36","2,567.71","2,581.41","2,556.88","-","0.07%"
"Feb 07, 2019","2,579.59","2,589.76","2,591.47","2,561.44","-","-0.90%"
"Feb 06, 2019","2,603.14","2,606.73","2,609.82","2,596.78","-","-0.23%"
"Feb 05, 2019","2,609.03","2,599.16","2,610.04","2,596.28","-","0.48%"
"Feb 04, 2019","2,596.64","2,578.54","2,596.65","2,572.11","-","0.68%"
"Feb 01, 2019","2,579.21","2,572.71","2,587.96","2,570.49","-","0.12%"
"Jan 31, 2019","2,576.16","2,557.83","2,580.58","2,552.56","-","0.88%"
"Jan 30, 2019","2,553.77","2,525.84","2,562.43","2,522.38","-","1.57%"
"Jan 29, 2019","2,514.36","2,519.22","2,524.74","2,506.75","-","-0.16%"
"Jan 28, 2019","2,518.50","2,522.37","2,522.37","2,499.89","-","-0.77%"
"Jan 25, 2019","2,538.02","2,529.34","2,544.48","2,529.34","-","0.89%"
"Jan 24, 2019","2,515.65","2,512.80","2,519.93","2,501.73","-","0.15%"
"Jan 23, 2019","2,511.78","2,508.87","2,525.59","2,487.90","-","0.20%"
"Jan 22, 2019","2,506.74","2,535.47","2,535.47","2,492.38","-","-1.41%"
"Jan 18, 2019","2,542.67","2,510.15","2,546.86","2,510.15","-","1.30%"
"Jan 17, 2019","2,510.12","2,483.64","2,518.47","2,481.70","-","0.77%"
"Jan 16, 2019","2,491.00","2,488.28","2,499.87","2,487.74","-","0.24%"
"Jan 15, 2019","2,484.96","2,462.16","2,487.24","2,461.64","-","1.07%"
"Jan 14, 2019","2,458.75","2,457.47","2,465.12","2,447.62","-","-0.54%"
"Jan 11, 2019","2,472.18","2,463.16","2,472.18","2,454.69","-","-0.01%"
"Jan 10, 2019","2,472.53","2,450.38","2,473.43","2,439.89","-","0.46%"
"Jan 09, 2019","2,461.12","2,457.05","2,470.44","2,446.32","-","0.43%"
"Jan 08, 2019","2,450.48","2,443.37","2,454.89","2,424.70","-","0.99%"
"Jan 07, 2019","2,426.38","2,411.25","2,441.79","2,402.84","-","0.74%"
"Jan 04, 2019","2,408.47","2,350.92","2,414.16","2,350.92","-","3.45%"
"Jan 03, 2019","2,328.05","2,369.43","2,369.43","2,327.12","-","-2.43%"
"Jan 02, 2019","2,386.12","2,356.18","2,394.65","2,345.89","-","0.11%"
"Dec 31, 2018","2,383.55","2,377.05","2,384.79","2,360.79","-","0.86%"
"Dec 28, 2018","2,363.25","2,374.44","2,395.26","2,351.41","-","-0.11%"
"Dec 27, 2018","2,365.85","2,324.09","2,365.85","2,280.45","-","0.85%"
"Dec 26, 2018","2,345.96","2,247.16","2,345.99","2,231.40","-","4.97%"
"Dec 24, 2018","2,234.85","2,283.59","2,290.15","2,234.85","-","-2.69%"
"Dec 21, 2018","2,296.64","2,352.35","2,378.81","2,289.16","-","-2.08%"
"Dec 20, 2018","2,345.52","2,374.17","2,385.40","2,320.74","-","-1.59%"
"Dec 19, 2018","2,383.45","2,419.96","2,456.51","2,377.24","-","-1.53%"
"Dec 18, 2018","2,420.60","2,432.13","2,446.79","2,405.07","-","0.01%"
"Dec 17, 2018","2,420.37","2,466.24","2,472.71","2,406.08","-","-2.11%"
"Dec 14, 2018","2,472.43","2,502.62","2,504.93","2,466.70","-","-1.88%"
"Dec 13, 2018","2,519.93","2,528.15","2,538.34","2,507.91","-","-0.05%"
"Dec 12, 2018","2,521.22","2,528.36","2,553.63","2,521.22","-","0.56%"
"Dec 11, 2018","2,507.24","2,531.98","2,542.81","2,493.33","-","-0.05%"
"Dec 10, 2018","2,508.55","2,500.98","2,517.47","2,459.10","-","0.17%"
"Dec 07, 2018","2,504.24","2,561.37","2,575.94","2,495.10","-","-2.35%"
"Dec 06, 2018","2,564.53","2,551.01","2,564.55","2,494.34","-","-0.12%"
"Dec 04, 2018","2,567.52","2,646.43","2,649.02","2,565.13","-","-3.23%"
"Dec 03, 2018","2,653.33","2,651.08","2,661.67","2,637.15","-","1.12%"
"Nov 30, 2018","2,623.85","2,602.40","2,624.45","2,598.33","-","0.82%"
"Nov 29, 2018","2,602.49","2,602.63","2,617.67","2,588.50","-","-0.22%"
"Nov 28, 2018","2,608.14","2,558.52","2,608.33","2,551.24","-","2.31%"
"Nov 27, 2018","2,549.36","2,534.13","2,549.45","2,527.14","-","0.26%"
"Nov 26, 2018","2,542.66","2,503.53","2,543.44","2,503.53","-","1.59%"
"Nov 23, 2018","2,502.95","2,506.13","2,516.96","2,502.14","-","-0.65%"
"Nov 21, 2018","2,519.25","2,523.95","2,538.39","2,519.24","-","0.35%"
"Nov 20, 2018","2,510.50","2,529.58","2,535.94","2,500.80","-","-1.79%"
"Nov 19, 2018","2,556.30","2,597.87","2,597.87","2,548.00","-","-1.70%"
"Nov 16, 2018","2,600.57","2,594.67","2,609.72","2,578.32","-","0.22%"
"Nov 15, 2018","2,594.80","2,559.36","2,599.24","2,539.74","-","1.08%"
"Nov 14, 2018","2,567.06","2,601.10","2,610.17","2,552.60","-","-0.76%"
"Nov 13, 2018","2,586.65","2,595.39","2,617.05","2,580.21","-","-0.14%"
"Nov 12, 2018","2,590.23","2,641.39","2,641.39","2,587.39","-","-1.99%"
"Nov 09, 2018","2,642.69","2,662.07","2,662.07","2,626.78","-","-0.94%"
"Nov 08, 2018","2,667.73","2,670.97","2,675.34","2,657.22","-","-0.29%"
"Nov 07, 2018","2,675.51","2,637.50","2,676.54","2,637.50","-","2.09%"
"Nov 06, 2018","2,620.68","2,604.72","2,621.62","2,603.07","-","0.62%"
"Nov 05, 2018","2,604.60","2,592.00","2,610.01","2,585.41","-","0.49%"
"Nov 02, 2018","2,591.84","2,609.84","2,623.90","2,571.12","-","-0.65%"
"Nov 01, 2018","2,608.87","2,585.49","2,610.01","2,578.01","-","1.12%"
"Oct 31, 2018","2,579.96","2,572.59","2,603.04","2,572.59","-","1.13%"
"Oct 30, 2018","2,551.09","2,509.62","2,553.32","2,506.08","-","1.58%"
"Oct 29, 2018","2,511.52","2,550.08","2,574.27","2,476.75","-","-0.67%"
"Oct 26, 2018","2,528.58","2,540.74","2,559.63","2,499.70","-","-1.73%"
"Oct 25, 2018","2,573.00","2,543.20","2,589.03","2,537.28","-","1.87%"
"Oct 24, 2018","2,525.66","2,604.64","2,608.32","2,522.44","-","-3.11%"
"Oct 23, 2018","2,606.84","2,594.91","2,618.78","2,559.71","-","-0.54%"
"Oct 22, 2018","2,620.92","2,638.60","2,641.89","2,614.48","-","-0.42%"
"Oct 19, 2018","2,632.01","2,640.25","2,661.10","2,625.68","-","-0.07%"
"Oct 18, 2018","2,633.89","2,665.99","2,669.08","2,621.46","-","-1.45%"
"Oct 17, 2018","2,672.75","2,675.76","2,679.69","2,647.69","-","-0.05%"
"Oct 16, 2018","2,674.04","2,631.87","2,676.58","2,631.87","-","2.16%"
"Oct 15, 2018","2,617.59","2,628.30","2,641.03","2,616.15","-","-0.57%"
"Oct 12, 2018","2,632.72","2,628.34","2,640.41","2,596.79","-","1.43%"
"Oct 11, 2018","2,595.59","2,642.39","2,658.56","2,581.26","-","-2.05%"
"Oct 10, 2018","2,649.79","2,732.13","2,732.90","2,649.58","-","-3.28%"
"Oct 09, 2018","2,739.78","2,741.27","2,753.47","2,734.55","-","-0.15%"
"Oct 08, 2018","2,744.01","2,738.71","2,748.78","2,723.24","-","-0.08%"
